DB内のテーブル名：dbo.M_STOPの内容

ENABLE_FLG	MACHINE_NO	STOP_NO	STOP_NAME	UPDATE_TIME	NOTE
1	1	1	故障	2019-02-14 16:05:58.000	NULL
1	1	2	刃具交換	2019-02-14 16:05:58.000	NULL
1	1	3	ＳＤロス	2019-02-14 16:05:58.000	NULL
1	1	4	生産調整	2019-02-14 16:05:58.000	NULL
1	1	5	異常発生	2019-02-14 16:05:58.000	NULL
1	1	6	朝夕礼	2019-02-14 16:05:58.000	NULL
1	1	7	ワークトラブル	2019-02-14 16:05:58.000	NULL
1	1	8	段取調整	2019-02-14 16:05:58.000	NULL
1	1	9	チョコ停	2019-02-14 16:05:58.000	NULL
1	1	10	その他	2019-02-14 16:05:58.000	NULL
1	1	99	未使用	2019-02-14 16:05:58.000	NULL
1	2	1	故障	2019-02-14 16:05:58.000	NULL
1	2	2	刃具交換	2019-02-14 16:05:58.000	NULL
1	2	3	ＳＤロス	2019-02-14 16:05:58.000	NULL
1	2	4	生産調整	2019-02-14 16:05:58.000	NULL
1	2	5	異常発生	2019-02-14 16:05:58.000	NULL
1	2	6	朝夕礼	2019-02-14 16:05:58.000	NULL
1	2	7	ワークトラブル	2019-02-14 16:05:58.000	NULL
1	2	8	段取調整	2019-02-14 16:05:58.000	NULL
1	2	9	チョコ停	2019-02-14 16:05:59.000	NULL
1	2	10	その他	2019-02-14 16:05:59.000	NULL
1	2	99	未使用	2019-02-14 16:05:59.000	NULL
1	3	1	故障	2019-02-14 16:05:59.000	NULL
1	3	2	刃具交換	2019-02-14 16:05:59.000	NULL
1	3	3	ＳＤロス	2019-02-14 16:05:59.000	NULL
1	3	4	生産調整	2019-02-14 16:05:59.000	NULL
1	3	5	異常発生	2019-02-14 16:05:59.000	NULL
1	3	6	朝夕礼	2019-02-14 16:05:59.000	NULL
1	3	7	ワークトラブル	2019-02-14 16:05:59.000	NULL
1	3	8	段取調整	2019-02-14 16:05:59.000	NULL
1	3	9	チョコ停	2019-02-14 16:05:59.000	NULL
1	3	10	その他	2019-02-14 16:05:59.000	NULL
1	3	99	未使用	2019-02-14 16:05:59.000	NULL
1	4	1	故障	2019-02-14 16:05:59.000	NULL
1	4	2	刃具交換	2019-02-14 16:05:59.000	NULL
1	4	3	ＳＤロス	2019-02-14 16:05:59.000	NULL
1	4	4	生産調整	2019-02-14 16:05:59.000	NULL
1	4	5	異常発生	2019-02-14 16:05:59.000	NULL
1	4	6	朝夕礼	2019-02-14 16:05:59.000	NULL
1	4	7	ワークトラブル	2019-02-14 16:05:59.000	NULL
1	4	8	段取調整	2019-02-14 16:05:59.000	NULL
1	4	9	チョコ停	2019-02-14 16:05:59.000	NULL
1	4	10	その他	2019-02-14 16:05:59.000	NULL
1	4	99	未使用	2019-02-14 16:05:59.000	NULL
1	5	1	故障	2019-02-14 16:05:59.000	NULL
1	5	2	刃具交換	2019-02-14 16:05:59.000	NULL
1	5	3	ＳＤロス	2019-02-14 16:05:59.000	NULL
1	5	4	生産調整	2019-02-14 16:05:59.000	NULL
1	5	5	異常発生	2019-02-14 16:05:59.000	NULL
1	5	6	朝夕礼	2019-02-14 16:05:59.000	NULL
1	5	7	ワークトラブル	2019-02-14 16:05:59.000	NULL
1	5	8	段取調整	2019-02-14 16:05:59.000	NULL
1	5	9	チョコ停	2019-02-14 16:05:59.000	NULL
1	5	10	その他	2019-02-14 16:05:59.000	NULL
1	5	99	未使用	2019-02-14 16:05:59.000	NULL
