DB内のテーブル名：dbo.M_WAITの内容

ENABLE_FLG	MACHINE_NO	WAIT_NO	WAIT_NAME	UPDATE_TIME	NOTE
1	1	1	M25000  集電体供給待ち	2019-02-14 16:06:07.000	NULL
1	1	2	M25001  ﾎﾙﾀﾞ供給PF先頭到着待ち	2019-02-14 16:06:07.000	NULL
1	1	3	NULL	2019-02-14 16:06:07.000	NULL
1	1	4	NULL	2019-02-14 16:06:07.000	NULL
1	1	5	NULL	2019-02-14 16:06:07.000	NULL
1	1	6	NULL	2019-02-14 16:06:07.000	NULL
1	1	7	NULL	2019-02-14 16:06:07.000	NULL
1	1	8	NULL	2019-02-14 16:06:07.000	NULL
1	1	9	NULL	2019-02-14 16:06:07.000	NULL
1	1	10	NULL	2019-02-14 16:06:07.000	NULL
1	1	11	NULL	2019-02-14 16:06:07.000	NULL
1	1	12	M25011  ﾎﾙﾀﾞ供給ﾜｰｸ満杯連続OFF	2021-06-11 11:38:24.000	NULL
1	1	13	M25012  ｷｬﾘｱ循環待ち	2019-02-14 16:06:07.000	NULL
1	1	14	M25013  CD装置ﾊﾞｯﾌｧCV満杯	2019-02-14 16:06:07.000	NULL
1	1	15	M25014  ｷｬﾘｱ供給待ち	2019-02-14 16:06:07.000	NULL
1	1	16	M25015  熱ｶｼﾒ完了待ち	2019-02-14 16:06:07.000	NULL
1	2	1	M25000:封口体供給待ち	2019-02-14 16:06:07.000	NULL
1	2	2	M25001:負極 ｶﾞｽｹｯﾄPF先頭到着待ち	2019-02-14 16:06:07.000	NULL
1	2	3	M25002:負極 端子板PF先頭到着待ち	2019-02-14 16:06:07.000	NULL
1	2	4	M25003:負極 絶縁板PF先頭到着待ち	2019-02-14 16:06:07.000	NULL
1	2	5	M25004:負極 集電体PF先頭到着待ち	2019-02-14 16:06:07.000	NULL
1	2	6	M25005:正極 ｶﾞｽｹｯﾄPF先頭到着待ち	2019-02-14 16:06:07.000	NULL
1	2	7	M25006:正極 端子板PF先頭到着待ち	2019-02-14 16:06:07.000	NULL
1	2	8	M25007:正極 絶縁板PF先頭到着待ち	2019-02-14 16:06:07.000	NULL
1	2	9	M25008:正極 集電体PF先頭到着待ち	2019-02-14 16:06:07.000	NULL
1	2	10	M25009:負極 集電体26供給待ち	2019-02-14 16:06:07.000	NULL
1	2	11	M25010:正極 Fﾀﾌﾞ供給待ち	2019-02-14 16:06:07.000	NULL
1	2	12	M25011:停止警報011	2019-02-14 16:06:07.000	NULL
1	2	13	M25012:B装置より一時停止	2019-02-14 16:06:08.000	NULL
1	2	14	M25013:E装置より一時停止	2019-02-14 16:06:08.000	NULL
1	2	15	M25014:CD装置より一時停止	2019-02-14 16:06:08.000	NULL
1	3	1	M25000:ｶｼﾒ隙間検査1 待機停止中	2019-02-14 16:06:08.000	NULL
1	3	2	M25001:ｶｼﾒ隙間検査2 待機停止中	2019-02-14 16:06:08.000	NULL
1	3	3	M25002:耐圧計1 待機停止中	2019-02-14 16:06:08.000	NULL
1	3	4	M25003:耐圧計2 待機停止中	2019-02-14 16:06:08.000	NULL
1	3	5	M25004:耐圧計3 待機停止中	2019-02-14 16:06:08.000	NULL
1	3	6	M25005:耐圧計4 待機停止中	2019-02-14 16:06:08.000	NULL
1	3	7	M25006:ｽｽ洗浄検査1 待機停止中	2019-02-14 16:06:08.000	NULL
1	3	8	M25007:ｽｽ洗浄検査2 待機停止中	2019-02-14 16:06:08.000	NULL
1	4	1	M25000  反転板  供給	2019-02-14 16:06:08.000	NULL
1	4	2	M25001  集電体  供給	2019-02-14 16:06:08.000	NULL
1	4	3	M25002  HMAﾊﾞｯﾌｧCV扉開	2019-02-14 16:06:08.000	NULL
1	5	1	M25000:ﾊﾟﾚｯﾄﾁｪﾝｼﾞｬ自動運転断	2019-02-14 16:06:08.000	NULL
1	5	2	M25001:停止警報001	2019-02-14 16:06:08.000	NULL
1	5	3	M25002:停止警報002	2019-02-14 16:06:08.000	NULL
1	5	4	M25003:停止警報003	2019-02-14 16:06:08.000	NULL
1	5	5	M25004:停止警報004	2019-02-14 16:06:08.000	NULL
1	5	6	M25005:停止警報005	2019-02-14 16:06:08.000	NULL
1	5	7	M25006:停止警報006	2019-02-14 16:06:08.000	NULL
1	5	8	M25007:停止警報007	2019-02-14 16:06:08.000	NULL
1	5	9	M25008:停止警報008	2019-02-14 16:06:08.000	NULL
1	5	10	M25009:停止警報009	2019-02-14 16:06:08.000	NULL
1	5	11	M25010:停止警報010	2019-02-14 16:06:08.000	NULL
1	5	12	M25011:停止警報011	2019-02-14 16:06:08.000	NULL
1	5	13	M25012:抵抗値検査ﾘﾄﾗｲ開始 （一時停止）	2019-02-14 16:06:08.000	NULL
1	5	14	M25013:ﾘｰｸ検査ﾘﾄﾗｲ開始 （一時停止）	2019-02-14 16:06:08.000	NULL
1	5	15	M25014:ﾊﾟﾚｯﾄ交換待ち	2019-02-14 16:06:08.000	NULL
