DB内の各種テーブルの型情報

tablename	columnname	columntype
M_LINE	LINE_NO	tinyint
M_LINE	SUB_NO	tinyint
M_LINE	LINE_NAME	nvarchar
M_LINE	FORMAL_NAME	nvarchar
M_LINE	FACTORY_NAME	char
M_MACHINE	ENABLE_FLG	bit
M_MACHINE	MACHINE_NO	tinyint
M_MACHINE	DISP_NO	tinyint
M_MACHINE	TOTAL_FLG	tinyint
M_MACHINE	MACHINE_NAME	nvarchar
M_MACHINE	TACT	float
M_MACHINE	SHIFT_MODE	tinyint
M_MACHINE	AUTO_SAVE	tinyint
M_MACHINE	DEV_TYPE	tinyint
M_MACHINE	PLC_NO	tinyint
M_MACHINE	PC_NO	tinyint
M_MACHINE	PLC_NO_WRITE	tinyint
M_MACHINE	PC_NO_WRITE	tinyint
M_MACHINE	STATUS_ADDR	nvarchar
M_MACHINE	NUM_ADDR	nvarchar
M_MACHINE	HIST_ADDR	nvarchar
M_MACHINE	ERR_ADDR	nvarchar
M_MACHINE	RESET_TIME	datetime
M_MACHINE	NEXT_RESET	datetime
M_MACHINE	RESET_FLG	tinyint
M_MACHINE	RESET_ERR	bit
M_MACHINE	DATE_CHANGE	datetime
M_MACHINE	SHIFT_A_START	datetime
M_MACHINE	SHIFT_A_END	datetime
M_MACHINE	SHIFT_B_START	datetime
M_MACHINE	SHIFT_B_END	datetime
M_MACHINE	SHIFT_C_START	datetime
M_MACHINE	SHIFT_C_END	datetime
M_MACHINE	COMM_STATUS	bit
M_MACHINE	SHARED_NUM	tinyint
M_MACHINE	UPDATE_TIME	datetime
M_MACHINE	NOTE	nvarchar
M_MACHINE	OPT_FLG	tinyint
M_MACHINE	OPT_NAME	nvarchar
M_OUT	ENABLE_FLG	bit
M_OUT	MACHINE_NO	tinyint
M_OUT	OUT_NO	smallint
M_OUT	OUT_NAME	nvarchar
M_OUT	UPDATE_TIME	datetime
M_OUT	NOTE	nvarchar
M_ERR	ENABLE_FLG	bit
M_ERR	MACHINE_NO	tinyint
M_ERR	ERR_NO	smallint
M_ERR	ERR_NAME	nvarchar
M_ERR	ERR_TYPE	tinyint
M_ERR	UPDATE_TIME	datetime
M_ERR	NOTE	nvarchar
M_STOP	ENABLE_FLG	bit
M_STOP	MACHINE_NO	tinyint
M_STOP	STOP_NO	smallint
M_STOP	STOP_NAME	nvarchar
M_STOP	UPDATE_TIME	datetime
M_STOP	NOTE	nvarchar
